Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0001,"Ballysax Bloodstock, Agent for HnR Nothhaft Horseracing LLC","","American Pharoah --- Halljoy (IRE)","","B",Filly,"American Pharoah","Halljoy (IRE)","","","","","*RNA (335,000)",---
1,0002,"Stony Point, Agent I","","Bernardini --- Halloween Fun","","DB/BR",Colt,"Bernardini","Halloween Fun","","","","","Laura McKinney",55000
1,0003,"Anderson Farms, Agent","","Speightstown --- Halo's Verse","","B",Colt,"Speightstown","Halo's Verse","","","","","Winchell Thoroughbreds LLC",600000
1,0004,"South Point Sales Agency, Agent XIV","","Distorted Humor --- Hangingbyamoment","","CH",Filly,"Distorted Humor","Hangingbyamoment","","","","","Stacy Leppala",70000
1,0005,"Denali Stud (Craig & Holly Bandoroff), Agent XII","","Speightstown --- Hard Not to Like","","DB/BR",Filly,"Speightstown","Hard Not to Like","","","","","*RNA (185,000)",---
1,0006,"Hunter Valley Farm, Agent","","American Pharoah --- Harmony Lodge","","B",Colt,"American Pharoah","Harmony Lodge","","","","","Byerley Racing",350000
1,0007,"Taylor Made Sales Agency, Agent LXXVII","","Carpe Diem --- Hasiti","","CH",Colt,"Carpe Diem","Hasiti","","","","","*RNA (95,000)",---
1,0008,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I","","Tapit --- Havre de Grace","","B",Colt,"Tapit","Havre de Grace","","","","","Mataichiro Yamamoto",550000
1,0009,"Taylor Made Sales Agency, Agent CXXXVI","","American Pharoah --- Heart of Paradise","","B",Colt,"American Pharoah","Heart of Paradise","","","","","*RNA (240,000)",---
1,0010,"Taylor Made Sales Agency, Agent CXLI","","Speightstown --- Hearty Laugh","","CH",Filly,"Speightstown","Hearty Laugh","","","","","Shadwell Estate Company, Ltd.",450000
1,0011,"Bedouin Bloodstock, Agent XI","","Speightstown --- Heatherdoesntbluff","","DB/BR",Filly,"Speightstown","Heatherdoesntbluff","","","","","Mike Ryan, Agent",310000
1,0012,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent","","Honor Code --- Heir Worthy","","B",Colt,"Honor Code","Heir Worthy","","","","","Centennial Farms",375000
1,0013,"KatieRich Farms","","Empire Maker --- Her Smile","","B",Colt,"Empire Maker","Her Smile","","","","","*RNA (175,000)",---
1,0014,"Eaton Sales, Agent","","Kitten's Joy --- High Chant","","B",Colt,"Kitten's Joy","High Chant","","","","","*RNA (290,000)",---
1,0015,"Paramount Sales, Agent XXIX","","Declaration of War --- High Maintenance (GB)","","B",Colt,"Declaration of War","High Maintenance (GB)","","","","","Pleasant Valley Farm",100000
1,0016,"Taylor Made Sales Agency, Agent CXLI","","More Than Ready --- Highway Mary","","B",Colt,"More Than Ready","Highway Mary","","","","","*RNA (200,000)",---
1,0017,"Select Sales, Agent LXIV","","Palace Malice --- Hi Lili","","DB/BR",Filly,"Palace Malice","Hi Lili","","","","","*RNA (115,000)",---
1,0018,"Taylor Made Sales Agency, Agent CXLI","","Honor Code --- Holiday Fashion","","DB/BR",Filly,"Honor Code","Holiday Fashion","","","","","Bluewater Sales, Agent for Martin S. Schwartz",275000
1,0019,"Taylor Made Sales Agency, Agent CLXXXII","","Speightstown --- Holy Heavens","","CH",Filly,"Speightstown","Holy Heavens","","","","","Green Lantern Stables LLC, Patrick Masson, Agent",125000
1,0020,"Taylor Made Sales Agency, Agent CXXVII","","War Front --- Homebound","","DB/BR",Colt,"War Front","Homebound","","","","","Hartley/De Renzo Thoroughbreds",725000
1,0021,"Taylor Made Sales Agency, Agent CXXVII","","War Front --- Homesteading","","B",Filly,"War Front","Homesteading","","","","","Hartley/De Renzo Thoroughbreds",275000
1,0022,"Taylor Made Sales Agency, Agent LXXIX","","Quality Road --- Hondo's Way","","DB/BR",Filly,"Quality Road","Hondo's Way","","","","","Kim Valerio, Agent",150000
1,0023,"Taylor Made Sales Agency, Agent XXXI","","Street Sense --- Honest Answer","","B",Filly,"Street Sense","Honest Answer","","","","","*RNA (170,000)",---
1,0024,"Darby Dan Farm, Agent IV","","Speightstown --- Honor Bestowed","","B",Colt,"Speightstown","Honor Bestowed","","","","","*RNA (190,000)",---
1,0025,"Bedouin Bloodstock, Agent XI","","Pioneerof the Nile --- Hooh Why","","B",Colt,"Pioneerof the Nile","Hooh Why","","","","","*RNA (585,000)",---
1,0026,"Select Sales, Agent for Machmer Hall","","Into Mischief --- Hopeoverexperience","","B",Colt,"Into Mischief","Hopeoverexperience","","","","","*RNA (325,000)",---
1,0027,"Taylor Made Sales Agency, Agent LXXXIX","","Carpe Diem --- Hot Spa","","CH",Colt,"Carpe Diem","Hot Spa","","","","","Ted Sprinkle",170000
1,0028,"Clarkland Farm, LLC","","Tonalist --- Hot Stones","","DB/BR",Filly,"Tonalist","Hot Stones","","","","","L.E.B., Agent for West Point Thourghbreds",110000
1,0029,"Taylor Made Sales Agency, Agent L","","Will Take Charge --- Humorous Miss","","CH",Colt,"Will Take Charge","Humorous Miss","","","","","Lael Stable",325000
1,0030,"Gainesway, Agent XXV","","Medaglia d'Oro --- Hungry Island","","DB/BR",Colt,"Medaglia d'Oro","Hungry Island","","","","","Godolphin",800000
1,0031,"Bluegrass Thoroughbred Services Inc. (Sandy Stuart),","Agent VI","Karakontie (JPN) --- I Bet Toni Knows","","CH",Colt,"Karakontie (JPN)","I Bet Toni Knows","","","","","Cromwell Bloodstock",100000
1,0032,"James M. Herbener Jr., Agent I","","Uncle Mo --- Ice Mint","","DB/BR",Colt,"Uncle Mo","Ice Mint","","","","","Mataichiro Yamamoto",100000
